,ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Delivery time
16423,422979,Punjabi Bagh,Delhi,Kalaunji By Sticky Rice,800.0,4.4,50,Kebabs,Punjabi Bagh,72
16424,423180,Kothrud,Pune,Rap N Roll,300.0,2.9,80,Combo,Kothrud,58
16425,423180,Kothrud,Pune,Rap N Roll,300.0,2.9,80,Fast Food,Kothrud,58
16426,423180,Kothrud,Pune,Rap N Roll,300.0,2.9,80,Asian,Kothrud,58
16427,423180,Kothrud,Pune,Rap N Roll,300.0,2.9,80,Snacks,Kothrud,58
16428,423192,Kothrud,Pune,Won China,400.0,2.9,80,Chinese,Kothrud,64
16429,423194,Kothrud,Pune,Malaka Spice,1300.0,4.5,20,Asian,Kothrud,63
16433,423194,Kothrud,Pune,Malaka Spice,1300.0,4.5,20,Thai,Kothrud,63
16435,423195,Banjara Hills,Hyderabad,Meals101,350.0,4.0,100,Chinese,Banjara Hills,52
16436,423195,Banjara Hills,Hyderabad,Meals101,350.0,4.0,100,North Indian,Banjara Hills,52
16437,423195,Banjara Hills,Hyderabad,Meals101,350.0,4.0,100,Desserts,Banjara Hills,52
16438,423195,Banjara Hills,Hyderabad,Meals101,350.0,4.0,100,Beverages,Banjara Hills,52
16439,423202,Kothapet & Dilsukhnagar,Hyderabad,Millet Express,200.0,4.2,1000,Healthy Food,Kothapet & Dilsukhnagar,54
16440,423202,Kothapet & Dilsukhnagar,Hyderabad,Millet Express,200.0,4.2,1000,South Indian,Kothapet & Dilsukhnagar,54
16441,423205,Ruby Area,Kolkata,7 - Eleven,300.0,2.9,80,Beverages,Ruby Area,85
16442,423205,Ruby Area,Kolkata,7 - Eleven,300.0,2.9,80,Fast Food,Ruby Area,85
16443,423205,Ruby Area,Kolkata,7 - Eleven,300.0,2.9,80,Desserts,Ruby Area,85
16444,423232,Salt Lake,Kolkata,Shanghai Flavours Of China Town,1000.0,3.8,50,Chinese,Salt Lake,78
16445,423285,Himayath Nagar,Hyderabad,The Shawarma Daddy,150.0,2.2,50,Arabian,Himayath Nagar,44
16446,423285,Himayath Nagar,Hyderabad,The Shawarma Daddy,150.0,2.2,50,Continental,Himayath Nagar,44
16447,423285,Himayath Nagar,Hyderabad,The Shawarma Daddy,150.0,2.2,50,Snacks,Himayath Nagar,44
16448,423329,Majestic,Bangalore,Hotel New Prashanth Naati Style,300.0,2.9,80,Chinese,Majestic,49
16449,423329,Majestic,Bangalore,Hotel New Prashanth Naati Style,300.0,2.9,80,Indian,Majestic,49
16450,423329,Majestic,Bangalore,Hotel New Prashanth Naati Style,300.0,2.9,80,Biryani,Majestic,49
16451,423329,Majestic,Bangalore,Hotel New Prashanth Naati Style,300.0,2.9,80,Seafood,Majestic,49
16452,423372,Mylapore,Chennai,The Magic Food Center,100.0,2.9,80,Fast Food,Mylapore,61
16453,423372,Mylapore,Chennai,The Magic Food Center,100.0,2.9,80,Chaat,Mylapore,61
16454,423462,South Kolkata,Kolkata,Kolkata Pantry,500.0,2.9,80,North Indian,South Kolkata,69
16455,423462,South Kolkata,Kolkata,Kolkata Pantry,500.0,2.9,80,Chinese,South Kolkata,69
16456,423462,South Kolkata,Kolkata,Kolkata Pantry,500.0,2.9,80,Bengali,South Kolkata,69
16457,423507,Old Washermanpet,Chennai,Pandi Briyani Hotel,250.0,2.9,80,Biryani,Royapuram,61
16458,423507,Old Washermanpet,Chennai,Pandi Briyani Hotel,250.0,2.9,80,South Indian,Royapuram,61
16459,423514,Santosh Nagar,Hyderabad,Oven Story Pizza,600.0,4.3,100,Pizzas,Santosh Nagar,66
16460,423548,Ameerpet,Hyderabad,Hans Kitchen,350.0,2.9,80,Chinese,Ameerpet,73
16461,423548,Ameerpet,Hyderabad,Hans Kitchen,350.0,2.9,80,North Indian,Ameerpet,73
16462,423553,Marol Sakinaka,Mumbai,Polka Pop,120.0,2.9,80,Beverages,Marol Sakinaka,57
