,ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Delivery time
16629,426627,Chembur,Mumbai,Artinci - Indulge Guilt Free!,250.0,4.5,20,Desserts,Chembur,47
16630,426627,Chembur,Mumbai,Artinci - Indulge Guilt Free!,250.0,4.5,20,Ice Cream,Chembur,47
16631,426627,Chembur,Mumbai,Artinci - Indulge Guilt Free!,250.0,4.5,20,Beverages,Chembur,47
16632,426627,Chembur,Mumbai,Artinci - Indulge Guilt Free!,250.0,4.5,20,Snacks,Chembur,47
16633,426627,Chembur,Mumbai,Artinci - Indulge Guilt Free!,250.0,4.5,20,Bakery,Chembur,47
16634,426660,Chembur,Mumbai,Chaaps & More,300.0,4.0,50,Indian,Chembur,51
16635,426660,Chembur,Mumbai,Chaaps & More,300.0,4.0,50,Punjabi,Chembur,51
16636,426660,Chembur,Mumbai,Chaaps & More,300.0,4.0,50,Tandoor,Chembur,51
16637,426682,Circus Avenue,Kolkata,Uno Pizzeria & Grill,400.0,4.2,100,Italian,Central Kolkata,62
16638,426682,Circus Avenue,Kolkata,Uno Pizzeria & Grill,400.0,4.2,100,Pizzas,Central Kolkata,62
16639,426682,Circus Avenue,Kolkata,Uno Pizzeria & Grill,400.0,4.2,100,Pastas,Central Kolkata,62
16640,426682,Circus Avenue,Kolkata,Uno Pizzeria & Grill,400.0,4.2,100,Mexican,Central Kolkata,62
16641,426682,Circus Avenue,Kolkata,Uno Pizzeria & Grill,400.0,4.2,100,American,Central Kolkata,62
16642,426730,Central Bangalore,Bangalore,Theobroma,500.0,4.5,500,Desserts,Central Bangalore,33
16643,426730,Central Bangalore,Bangalore,Theobroma,500.0,4.5,500,Bakery,Central Bangalore,33
16644,426730,Central Bangalore,Bangalore,Theobroma,500.0,4.5,500,Beverages,Central Bangalore,33
16645,426763,Ruby Area,Kolkata,Kimchi,300.0,4.0,50,Chinese,Ruby Area,77
16646,426799,Jadavpur,Kolkata,Ttoniq,300.0,2.9,80,Beverages,Jadavpur,93
16647,426799,Jadavpur,Kolkata,Ttoniq,300.0,2.9,80,Snacks,Jadavpur,93
16648,426818,Sion,Mumbai,New Neelam Restaurant And Bar,196.0,2.9,80,Chinese,Matunga Wadala,48
16649,426818,Sion,Mumbai,New Neelam Restaurant And Bar,196.0,2.9,80,Indian,Matunga Wadala,48
16650,426820,Vishrantwadi,Pune,R.K. Chinese,200.0,2.9,80,Chinese,Vishrantwadi,63
16651,426891,Shivaji Nagar,Pune,The Golden Samosa,100.0,2.9,80,Snacks,Shivaji Nagar,36
16652,426915,Andheri East,Mumbai,Delhi King,355.0,2.9,80,Fast Food,Andheri East,54
16653,426915,Andheri East,Mumbai,Delhi King,355.0,2.9,80,Pizzas,Andheri East,54
